id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
1,m,02-03-1952,15,3,57000,27000,98,144,0
2,m,5/23/1958,16,1,40200,18750,98,36,0
3,f,7/26/1929,12,1,21450,12000,98,381,0
4,f,4/15/1947,8,1,21900,13200,98,190,0
5,m,02-09-1955,15,1,45000,21000,98,138,0
6,m,8/22/1958,15,1,32100,13500,98,67,0
7,m,4/26/1956,15,1,36000,18750,98,114,0
8,f,05-06-1966,12,1,21900,9750,98,0,0
9,f,1/23/1946,15,1,27900,12750,98,115,0
10,f,2/13/1946,12,1,24000,13500,98,244,0
11,f,02-07-1950,16,1,30300,16500,98,143,0
12,m,01-11-1966,8,1,28350,12000,98,26,1
13,m,7/17/1960,15,1,27750,14250,98,34,1
14,f,2/26/1949,15,1,35100,16800,98,137,1
15,m,8/29/1962,12,1,27300,13500,97,66,0
16,m,11/17/1964,12,1,40800,15000,97,24,0
17,m,7/18/1962,15,1,46000,14250,97,48,0
18,m,3/20/1956,16,3,103750,27510,97,70,0
19,m,8/19/1962,12,1,42300,14250,97,103,0
20,f,1/23/1940,12,1,26250,11550,97,48,0
21,f,2/19/1963,16,1,38850,15000,97,17,0
22,m,9/24/1940,12,1,21750,12750,97,315,1
23,f,3/15/1965,15,1,24000,11100,97,75,1
24,f,3/27/1933,12,1,16950,9000,97,124,1
25,f,07-01-1942,15,1,21150,9000,97,171,1
26,m,11-08-1966,15,1,31050,12600,96,14,0
27,m,3/19/1954,19,3,60375,27480,96,96,0
28,m,04-11-1963,15,1,32550,14250,96,43,0
29,m,1/28/1944,19,3,135000,79980,96,199,0
30,m,9/17/1961,15,1,31200,14250,96,54,0
31,m,2/24/1964,12,1,36150,14250,96,83,0
32,m,1/28/1954,19,3,110625,45000,96,120,0
33,m,3/18/1961,15,1,42000,15000,96,68,0
34,m,02-02-1949,19,3,92000,39990,96,175,0
35,m,8/22/1961,17,3,81250,30000,96,18,0
36,f,08-07-1963,8,1,31350,11250,96,52,0
37,m,10-09-1954,12,1,29100,13500,96,113,1
38,m,4/27/1962,15,1,31350,15000,96,49,1
39,m,6/22/1960,16,1,36000,15000,96,46,1
40,f,8/28/1933,15,1,19200,9000,96,23,1
41,f,3/18/1961,12,1,23550,11550,96,52,1
42,m,9/23/1960,15,1,35100,16500,95,90,0
43,m,1/18/1964,12,1,23250,14250,95,46,0
44,m,6/15/1963,8,1,29250,14250,95,50,0
45,m,08-02-1938,12,2,30750,13500,95,307,0
46,f,11/18/1940,15,1,22350,12750,95,165,0
47,f,4/28/1938,12,1,30000,16500,95,228,0
48,m,06-07-1947,12,2,30750,14100,94,240,0
49,m,9/16/1958,15,1,34800,16500,94,93,0
50,m,02-09-1960,16,3,60000,23730,94,59,0
51,m,07-08-1962,12,1,35550,15000,94,48,0
52,m,11-12-1963,15,1,45150,15000,94,40,0
53,m,4/21/1954,18,3,73750,26250,94,56,0
54,m,06-04-1931,12,1,25050,13500,94,444,0
55,m,6/25/1960,12,1,27000,15000,94,120,0
56,m,4/16/1962,15,1,26850,13500,94,5,0
57,m,4/15/1963,15,1,33900,15750,94,78,0
58,f,11/14/1964,15,1,26400,13500,94,3,0
59,m,05-07-1961,15,1,28050,14250,94,36,1
60,m,2/16/1959,12,1,30900,15000,94,102,1
61,m,4/28/1964,8,1,22500,9750,94,36,1
62,m,7/18/1962,16,3,48000,21750,93,22,0
63,m,8/20/1961,17,3,55000,26250,93,32,0
64,m,9/28/1963,16,3,53125,21000,93,48,0
65,m,3/28/1964,8,1,21900,14550,93,41,0
66,m,2/16/1962,19,3,78125,30000,93,7,0
67,m,5/28/1964,16,3,46000,21240,93,35,0
68,m,05-05-1963,16,3,45250,21480,93,36,0
69,m,6/23/1960,16,3,56550,25000,93,34,0
70,m,02-08-1962,15,1,41100,20250,93,27,0
71,m,8/26/1948,17,3,82500,34980,93,207,0
72,f,01-07-1964,16,1,54000,18000,93,11,0
73,f,02-09-1968,12,1,26400,10500,93,0,0
74,f,4/28/1933,15,1,33900,19500,93,192,0
75,f,08-12-1965,15,1,24150,11550,93,0,0
76,f,09-03-1967,15,1,29250,11550,93,11,0
77,f,09-09-1968,12,1,27600,11400,93,6,0
78,f,8/20/1968,12,1,22950,10500,93,10,0
79,f,1/23/1962,16,1,34800,14550,93,8,0
80,f,5/25/1961,16,1,51000,18000,93,22,0
81,f,03-12-1968,12,1,24300,10950,93,5,0
82,f,8/28/1947,12,1,24750,14250,93,193,1
83,f,10-12-1967,12,1,22950,11250,93,0,1
84,f,03-12-1967,8,1,25050,10950,93,8,1
85,m,04-09-1962,15,1,25950,17100,92,42,0
86,m,8/25/1961,15,1,31650,15750,92,64,0
87,m,10/20/1959,12,1,24150,14100,92,130,0
88,m,02-10-1962,19,3,72500,28740,92,10,0
89,m,6/24/1961,19,3,68750,27480,92,8,0
90,f,2/27/1938,8,1,16200,9750,92,0,0
91,f,11-04-1967,12,1,20100,11250,92,24,0
92,f,6/25/1968,8,1,24000,10950,92,6,0
93,f,03-05-1968,12,1,25950,10950,92,0,0
94,f,08-04-1950,12,1,24600,10050,92,44,0
95,f,08-08-1968,12,1,28500,10500,92,6,0
96,m,10-02-1933,8,2,30750,15000,92,432,1
97,m,1/18/1953,17,1,40200,19500,92,168,1
98,m,5/17/1956,8,2,30000,15000,92,144,1
99,f,07-07-1968,12,1,22050,10950,92,5,1
100,m,10/25/1963,18,3,78250,27480,91,47,0
101,m,3/14/1960,16,3,60625,22500,91,44,0
102,m,3/28/1963,14,1,39900,15750,91,59,0
103,m,3/17/1959,19,3,97000,35010,91,68,0
104,m,11-05-1962,15,1,27450,15750,91,48,0
105,m,03-07-1966,15,1,31650,13500,91,18,0
106,m,08-04-1962,19,3,91250,29490,91,23,0
107,f,8/16/1960,12,1,25200,14400,91,83,0
108,f,7/16/1930,12,1,21000,11550,91,108,0
109,m,11-10-1963,12,1,30450,15000,91,49,1
110,m,10/29/1952,15,1,28350,18000,91,151,1
111,m,11/27/1940,12,2,30750,9000,91,314,1
112,m,6/21/1948,12,2,30750,15000,91,240,1
113,m,10-06-1959,16,3,54875,27480,90,68,0
114,m,8/25/1961,14,1,37800,16500,90,60,0
115,m,05-12-1961,15,1,33450,14100,90,85,0
116,m,06-09-1962,15,1,30300,16500,90,16,0
117,f,1/14/1932,12,1,31500,18750,90,205,0
118,f,03-04-1964,12,1,31650,14250,90,48,0
119,f,7/23/1963,12,1,25200,14100,90,55,0
120,f,11-12-1964,16,3,37800,15750,90,7,0
121,f,08-06-1936,15,1,18750,10500,90,54,0
122,f,9/26/1965,15,1,32550,13500,90,22,0
123,f,4/24/1949,12,1,33300,15000,90,3,0
124,f,5/29/1963,16,1,38550,16500,90,0,0
125,m,08-06-1956,12,1,27450,15000,90,173,1
126,m,1/21/1951,15,2,24300,15000,90,191,1
127,m,09-01-1950,12,2,30750,15000,90,209,1
128,f,7/25/1946,12,1,19650,9750,90,229,1
129,m,7/18/1959,17,3,68750,27510,89,38,0
130,m,09-06-1958,20,3,59375,30000,89,6,0
131,m,02-08-1962,15,1,31500,15750,89,22,0
132,m,5/17/1953,12,1,27300,17250,89,175,0
133,m,09-12-1959,15,1,27000,15750,89,87,0
134,f,11-10-1941,16,3,41550,24990,89,285,0
135,f,5/22/1968,12,1,26250,10950,89,0,0
136,m,8/25/1939,12,1,22200,15000,88,324,0
137,m,07-12-1937,21,3,65000,37500,88,264,0
138,m,01-09-1947,12,1,30900,15000,88,252,0
139,f,6/18/1931,8,1,20100,13200,88,90,0
140,f,04-05-1965,12,1,22350,13500,88,26,0
141,f,6/14/1966,15,1,35550,13350,88,32,0
142,f,11/13/1966,12,1,28500,13950,88,34,0
143,f,8/24/1939,12,1,24450,13200,88,107,0
144,f,8/28/1931,8,1,16650,9750,88,412,0
145,m,1/15/1964,12,1,26700,13500,88,38,1
146,m,01-02-1951,18,1,43950,23250,88,182,1
147,m,09-11-1936,15,1,23700,13500,88,359,1
148,f,10-05-1959,15,1,26550,14250,88,61,1
149,m,6/28/1962,12,1,27600,15000,87,75,0
150,m,03-05-1954,12,1,25800,15000,87,143,0
151,m,8/16/1954,16,3,42300,26250,87,126,0
152,m,05-03-1929,8,2,30750,15000,87,451,0
153,f,5/13/1967,12,1,26700,12900,87,18,0
154,f,06-07-1940,12,1,20850,12000,87,163,0
155,m,03-06-1963,15,1,35250,15000,87,54,1
156,m,01-12-1963,15,1,26700,15000,87,56,1
157,f,07-02-1967,12,1,26550,13050,87,11,1
158,f,9/20/1964,12,1,27750,12000,87,11,1
159,f,1/13/1951,16,1,25050,12750,87,123,1
160,m,8/27/1951,16,3,66000,47490,86,150,0
161,m,02-11-1963,16,1,52650,19500,86,20,0
162,m,5/25/1961,16,3,45625,23250,86,60,0
163,m,11-10-1965,15,1,30900,15000,86,25,0
164,f,8/13/1965,15,1,29400,16500,86,24,0
165,f,4/29/1966,15,1,33300,13500,86,24,0
166,f,07-12-1942,12,1,21900,9750,86,156,0
167,f,8/26/1932,12,1,18150,9750,86,72,0
168,f,4/23/1962,16,3,46875,17250,86,19,0
169,m,5/23/1965,12,1,25500,14400,86,37,1
170,m,6/13/1964,12,1,26550,15000,86,38,1
171,m,1/21/1930,12,1,26700,13500,86,367,1
172,f,6/13/1953,15,1,29850,15000,86,79,1
173,m,1/15/1950,20,3,69250,42480,85,134,0
174,m,01-07-1935,8,2,31950,15000,85,438,0
175,m,01-08-1938,8,1,26250,15600,85,171,0
176,f,10-05-1962,16,1,35700,17250,85,19,0
177,f,08-11-1962,12,1,28500,16500,85,69,0
178,f,1/17/1938,12,1,17100,10200,85,72,0
179,m,1/19/1965,12,1,25200,13050,85,29,1
180,f,1/23/1960,12,1,24000,12750,85,59,1
181,f,01-04-1939,12,1,27450,10200,85,101,1
182,f,03-08-1943,12,1,18450,10200,85,228,1
183,m,03-01-1960,15,1,39300,15750,84,72,0
184,m,11-05-1964,15,1,38850,15000,84,53,0
185,m,8/28/1930,8,2,30750,15000,84,380,0
186,m,07-06-1964,15,1,37500,20400,84,33,0
187,m,7/29/1963,16,3,58750,21750,84,13,0
188,f,02-04-1934,12,1,34500,18750,84,208,0
189,f,3/28/1950,12,1,36000,19980,84,240,0
190,f,11/15/1932,8,1,29100,16500,84,35,0
191,f,10/23/1931,12,1,16500,10200,84,288,0
192,m,10-09-1949,12,1,19650,12750,84,180,1
193,f,7/22/1966,12,1,24750,12000,84,41,1
194,f,04-10-1938,15,1,27150,15750,84,231,1
195,f,11-06-1955,12,1,26400,12750,84,36,1
196,f,03-03-1946,16,1,23100,12000,84,214,1
197,m,10-01-1962,15,3,54900,25500,83,49,0
198,m,3/17/1952,19,3,70875,43500,83,156,0
199,m,02-02-1958,16,3,51250,27480,83,69,0
200,m,2/13/1963,17,3,67500,34980,83,9,0
201,m,05-08-1955,12,1,29340,19500,83,150,0
202,m,3/17/1963,15,1,39600,16500,83,47,0
203,m,3/17/1964,12,1,29100,15000,83,50,0
204,m,10/21/1960,15,1,33150,16500,83,69,0
205,m,6/22/1944,16,3,66750,52500,83,258,0
206,m,5/22/1943,12,2,33750,15000,83,284,0
207,m,2/15/1959,15,1,27300,17250,83,91,0
208,f,11/28/1968,12,1,24000,11250,83,16,0
